"","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$"
"Dominica","117.92","121.90","154.08","154.03","118.82","139.62","139.56","145.08","140.76","149.11","147.10","147.76","153.97","153.40","129.72","111.48","108.62","106.23","100.20","97.45","98.16","88.18"
"Dominican Republic","131.90","118.79","130.58","122.88","132.84","134.90","131.67","128.75","130.10","133.85","133.97","130.80","119.49","119.24","109.12","103.93","112.70","75.20","74.10","93.87","89.69","87.76"
"Ecuador","177.29","184.55","180.47","179.61","180.12","176.43","196.67","167.17","178.88","189.60","178.35","152.43","141.16","139.67","117.48","128.12","116.99","101.97","91.32","65.89","46.25","33.09"
"Egypt","110.85","101.04","102.82","85.21","74.20","98.97","118.96","109.30","100.63","101.24","77.84","71.36","64.12","59.32","47.05","42.46","40.55","34.28","34.69","42.98","46.29","46.04"
"El Salvador","149.64","123.95","175.21","156.07","152.69","144.26","143.23","135.68","142.77","138.15","132.48","120.53","117.04","122.38","115.37","103.88","116.03","89.73","84.49","80.96","79.79","75.55"
"Equatorial Guinea","203.56","189.75","182.50","187.88","176.13","170.94","171.30","214.30","210.35","177.76","178.61","162.24","154.82","153.81","127.54","105.54","98.75","89.36","74.63","67.57","18.66","12.17"
"Eritrea","12.55","11.57","11.64","11.74","10.02","13.75","11.29","16.49","14.39","13.63","12.12","11.84","10.45","6.58","8.11","7.75","7.26","7.65","7.25","6.82","7.83","8.40"
"Estonia","498.94","410.74","409.60","409.90","357.53","311.56","293.36","325.20","303.91","259.09","260.15","240.24","234.53","259.06","213.91","157.00","141.92","122.62","89.07","59.80","47.23","50.73"
"Eswatini","63.77","54.03","60.05","64.46","68.13","58.37","64.62","72.75","78.06","87.32","93.53","87.50","70.98","68.03","74.17","71.31","69.58","62.21","47.72","30.35","32.35","33.87"
"Ethiopia","10.90","10.71","11.34","9.69","9.73","13.51","13.29","12.89","9.72","9.85","8.00","7.92","7.21","5.45","4.72","3.63","2.34","2.30","2.27","2.24","2.23","2.26"
"Fiji","69.73","68.09","75.94","81.75","58.37","58.12","58.27","61.82","58.09","53.45","49.56","38.25","37.97","32.72","34.23","27.25","20.70","20.32","15.78","12.19","11.56","11.48"
"Finland","987.46","883.83","883.15","969.37","931.26","910.75","884.94","1006.28","1004.72","923.48","982.57","911.95","912.15","949.87","837.70","725.83","718.28","674.58","592.86","477.14","430.39","419.00"
"France","1311.93","1104.49","1118.95","1130.07","1068.23","1060.52","1161.99","1474.26","1447.75","1379.86","1469.42","1357.36","1389.05","1412.09","1246.40","1094.92","981.42","946.09","822.66","661.39","597.33","589.56"
